question,answer
फेद काट्ने कीरा कसरी नियन्त्रण गर्ने?,"फेद काट्ने कीरा (Cutworm) दिउँसो माटोभित्र लुक्छ र राति कलिला बेर्नाको फेद काटेर ढालिदिन्छ। रोप्नुअघि खेतमा पानी जमाउने, बत्तीको पासो राख्ने र बेर्नाको फेद वरिपरि क्लोरपाइरिफस वा निमको पिना हाल्नुपर्छ।"
माटोमा धमिरा कसरी नियन्त्रण गर्ने?,धमिराले सुक्खा बलौटे माटोमा बिरुवाको जरा खान्छ। खेतमा नकुहिएको काठपात वा काँचो गोबर नहाल्नुहोस्। जग्गा तयारी गर्दा प्रति रोपनी २०-३० केजी निमको पिना माटोमा मिसाउनुहोस् वा क्लोरपाइरिफसले जरा वरिपरि भिजाउनुहोस्।
सम्पर्क र प्रणालीगत ढुसीनाशकमा के फरक छ?,"सम्पर्क ढुसीनाशक (जस्तै म्यानकोजेब, कपर) ले पातको बाहिरी भागमा बसेर रोग भित्र पस्न दिँदैन र रोग लाग्नुअघि नै छर्किनुपर्छ। प्रणालीगत ढुसीनाशक (जस्तै मेटाल्याक्सिल) बोटभित्र नशा-नशामा फैलिएर भित्रको रोग निको पार्छ।"
तरकारीको जरामा गाँठो पार्ने जुका (निमाटोड) कसरी रोकथाम गर्ने?,"रूट-नट निमाटोडले जरामा गिर्खा बनाएर बिरुवा पहेंलो र पुड्को बनाउँछ। खेतमा सयपत्री फूल (Marigold) लगाउनुहोस्, जेठ-असारको चर्को घाममा पारदर्शी प्लास्टिक ओढाएर माटो तताउनुहोस्, र जैविक पेसिलोमाइसिस प्रयोग गर्नुहोस्।"
विषादी छर्ने स्प्रे पम्पको सही नापजाँच कसरी गर्ने?,स्प्रे पम्पमा सफा पानी भरेर १० मिटर लम्बाइ र १० मिटर चौडाइको जग्गामा सामान्य गतिमा छर्कनुहोस्। कति पानी खर्च भयो नाप्नुहोस् र प्रति रोपनी चाहिने पानी हिसाब गर्नुहोस्। यसले गर्दा विषादी कम भएर काम नगर्ने वा बढी भएर पात डढ्ने समस्या हुँदैन।
मकैमा अमेरिकन फौजी कीरा कसरी नियन्त्रण गर्ने?,"फौजी कीराले मकैको पात र गुभो खाएर जाली बनाउँछ र विष्टा छाड्छ। मकैको गुभोमा बालुवा वा काठको खरानी खुर्सानीको धुलो मिसाएर हाल्नुहोस्, र धेरै प्रकोप भएमा स्पिनिटोराम (०.५ मि.लि.) वा इमामेक्टिन बेन्जोएट (०.४ ग्राम प्रति लिटर) पानीमा छर्कनुहोस्।"
धानमा गवारो र मरुवा रोग कसरी नियन्त्रण गर्ने?,धानको गवारो कीराले गुभो सुकाउने (Dead heart) र सेतो बाला बनाउँछ; यसका लागि बत्तीको पासो र कार्टाप हाइड्रोक्लोराइड प्रयोग गर्नुहोस्। मरुवा (ब्लास्ट) रोगमा पातमा आँखा आकारका खैरो दाग बन्छन्; यसका लागि ट्राइसाइक्लाजोल १ ग्राम प्रति लिटर छर्कनुहोस्।
अदुवामा गानो कुहिने रोग कसरी नियन्त्रण गर्ने?,"अदुवाको गानो कुहिने रोग माटोमा पानी जम्दा ढुसीका कारण लाग्छ। अग्लो ड्याङ बनाएर पानी नजम्ने बनाउनुहोस्, बीउ रोप्नुअघि म्यानकोजेब (३ ग्राम प्रति लिटर) को घोलमा ३० मिनेट डुबाएर उपचार गर्नुहोस् र ट्राइकोडर्मा प्रयोग गर्नुहोस्।"
सुन्तला र कागतीमा फल झर्ने समस्या कसरी रोक्ने?,"सुन्तला र कागतीमा फल झर्नुमा फलको झिँगा, ढुसी रोग वा सूक्ष्म पोषक तत्वको कमी मुख्य कारण हुन्। फूल फुल्दा र फल केराउको दाना जत्रो हुँदा जिंक सल्फेट र बोरोन छर्कनुहोस् तथा मिथाइल युजिनोल फेरोमोन पासो झुन्ड्याउनुहोस्।"
लसुन र प्याजमा थ्रिप्स कीरा कसरी नियन्त्रण गर्ने?,"थ्रिप्स कीराले पात कोतरेर रस चुस्छ र पातमा चाँदी जस्तो सेतो धर्सा बनाउँछ। नीलो टाँसिने ट्रयाप लगाउनुहोस्, निमजन्य विषादी (३ मि.लि. प्रति लिटर) वा फिप्रोनिल (१.५ मि.लि. प्रति लिटर पानी) बिहानको समयमा पातको फेदसम्म भिज्ने गरी छर्कनुहोस्।"
गोलभेँडामा तुता एब्सोलुटा (पात खन्ने पुतली) कसरी नियन्त्रण गर्ने?,"तुता एब्सोलुटा (Tuta Absoluta) का लाभ्रेले गोलभेँडाको पातभित्रको हरियो भाग खान्छन् र फलमा प्वाल पार्छन्। बत्तीको पासो र तुता फेरोमोन ट्रयाप राख्नुहोस्, टनेलमा मसिनो जाली लगाउनुहोस् र कोराजेन (०.३ मि.लि. प्रति लिटर) छर्कनुहोस्।"
अलैँचीमा छिर्के र फुर्के रोग कसरी व्यवस्थापन गर्ने?,"अलैँचीको छिर्के र फुर्के भाइरसबाट लाग्ने रोग हुन् जुन लाही कीराले सार्छ। रोगी अलैँचीको झ्याङ तत्कालै उखेलेर जलाउनुहोस्, रोगमुक्त टिस्यु कल्चर बिरुवा मात्र रोप्नुहोस् र लाही कीरा नियन्त्रण गर्न साबुनपानी वा डाइमेथोएट छर्कनुहोस्।"
जैविक जीवामृत मल कसरी बनाउने?,"१० केजी गाईको गोबर, १० लिटर गहुँत, २ केजी सख्खर (गुड), २ केजी बेसन र १ मुठी जंगलको शुद्ध माटो २०० लिटर पानीमा घोल्नुहोस्। घडीको दिशामा दैनिक दुईपटक चलाएर ५-७ दिन छायामा राख्नुहोस्। यो जीवामृत माटोमा सिधै हाल्दा सूक्ष्म जीवाणु बढाउँछ।"
तोरी र रायोमा लाही कीरा कसरी नियन्त्रण गर्ने?,तोरीमा लाही कीरा जाडो मौसममा बादल लाग्दा छिटो फैलिन्छ। लाहीबाट जोगिन कात्तिक पहिलो हप्ताभित्रै तोरी छरिसक्नुहोस्। मित्रजीव लेडीबर्ड खपटे किराको संरक्षण गर्नुहोस् र धेरै प्रकोप भएमा रोगर (डाइमेथोएट १ मि.लि. प्रति लिटर पानी) छर्कनुहोस्।
आलुको बीउ भण्डारण गर्ने घरेलु र देहाती तरिका के हो?,"आलुको बीउलाई अँध्यारोमा नराखी हावा खेल्ने, छरिएको उज्यालो (Diffused Light) आउने काठ वा बाँसको खोरिया/र्याकमा २-३ तहमा फिँजाएर राख्नुपर्छ। यसले आलुमा छोटा, मोटा र बलिया हरिया मुना आउँछन् र आलु कुहिँदैन।"
काँक्रो र फर्सीमा खरानी तथा सितुवा रोग कसरी नियन्त्रण गर्ने?,पातको माथिल्लो भागमा सेतो धुलो जस्तो देखिने खराने रोगमा सल्फर (२ ग्राम प्रति लिटर) छर्कनुहोस्। पातमा पहेंला कुने दाग र मुनि बैजनी ढुसी देखिने सितुवा (Downy Mildew) का लागि मेटाल्याक्सिल + म्यानकोजेब (२ ग्राम प्रति लिटर) प्रयोग गर्नुहोस्।
परालको पोकामा गोब्रे वा कन्या च्याउ खेती कसरी गर्ने?,सुकेको धानको पराललाई २-३ इन्चको टुक्रा पारी ४५ मिनेट उम्लेको पानीमा उसिन्नुहोस्। पानी तारेर कोठाको तापक्रममा चिसो बनाई प्लास्टिकको थैलामा पराल र च्याउको बीउ तह-तह गरी भर्नुहोस्। अँध्यारो कोठामा २२-२५ डिग्रीमा राखेपछि १८-२१ दिनमा च्याउ उम्रन थाल्छ।
मौरीपालनले तरकारीको उत्पादन र परागसेचनमा कसरी मद्दत गर्छ?,"मौरीले काँक्रो, फर्सी, तोरी, स्याउ र गोलभेँडामा पर-परागसेचन (Cross-pollination) गराएर उत्पादन ३० देखि ५० प्रतिशतले बढाउँछ र फल बाङ्गो हुनबाट जोगाउँछ। मौरी चरिरहेको बिहानी समयमा रासायनिक विषादी छर्कनु हुँदैन।"
खेतबारीमा कम्पोस्ट मल कहिले र कसरी प्रयोग गर्ने?,"राम्रोसँग पाकेको कम्पोस्ट मल (प्रति रोपनी १ देखि २ टन) बाली लगाउनुभन्दा २-३ हप्ताअघि अन्तिम खनजोत गर्दा माटोको माथिल्लो १५ से.मी. मा राम्रोसँग मिलाउनुपर्छ। मललाई घाममा खुला नछोड्नुहोस्, नत्र नाइट्रोजन उडेर जान्छ।"
कृषि चुन प्रयोग गरी अमिलो माटो कसरी सुधार गर्ने?,माटोको पीएच ५.५ भन्दा कम भएमा बाली रोप्नुभन्दा ३-४ हप्ताअघि जग्गा तयारी गर्दा प्रति रोपनी २५ देखि ५० केजी कृषि चुन (क्याल्सियम कार्बोनेट) धुलो माटोमा समान रूपले छरेर जोत्नुपर्छ र माटोमा पर्याप्त चिस्यान हुनुपर्छ।
निमको पातबाट जैविक कीटनाशक कसरी बनाउने?,५ केजी हरियो निमको पातलाई मसिनो गरी कुटेर १० लिटर पानीमा हाल्नुहोस् र त्यसमा १ लिटर गहुँत मिसाएर ३-४ दिन भिजाउनुहोस्। त्यसपछि कपडाले छानेर १ लिटर झोलमा ४ लिटर पानी र थोरै साबुनको फिँज मिसाएर कीरा लागेको बालीमा छर्कनुहोस्।
